investor_id,avg_gap_days,risk_status,state,city,age_group
INV000359,54.125,At Risk,Tamil Nadu,Chennai,18-25
INV000363,77.0,At Risk,Madhya Pradesh,Bhopal,26-35
INV000369,43.8,At Risk,Delhi,Gurugram,26-35
INV000371,59.285714285714285,At Risk,Uttar Pradesh,Agra,26-35
INV000372,54.5,At Risk,Gujarat,Surat,36-45
INV000380,97.0,At Risk,Haryana,Gurugram,56+
INV000388,53.625,At Risk,Maharashtra,Nashik,36-45
INV000392,77.16666666666667,At Risk,Gujarat,Surat,26-35
INV000395,55.666666666666664,At Risk,Delhi,Noida,18-25
INV000396,83.2,At Risk,Rajasthan,Jaipur,46-55
INV000399,49.55555555555556,At Risk,Karnataka,Bangalore,26-35
INV000400,62.6,At Risk,Punjab,Chandigarh,26-35
INV000403,58.2,At Risk,Rajasthan,Jaipur,18-25
INV000407,82.4,At Risk,Tamil Nadu,Coimbatore,36-45
INV000408,46.8,At Risk,Punjab,Amritsar,56+
INV000412,43.714285714285715,At Risk,Rajasthan,Udaipur,18-25
INV000414,66.28571428571429,At Risk,Tamil Nadu,Chennai,36-45
INV000415,66.16666666666667,At Risk,Maharashtra,Pune,36-45
INV000418,86.8,At Risk,Rajasthan,Jaipur,26-35
INV000427,68.5,At Risk,Punjab,Amritsar,56+
INV000428,52.142857142857146,At Risk,Delhi,Gurugram,36-45
INV000429,77.2,At Risk,Gujarat,Surat,36-45
INV000437,97.8,At Risk,Telangana,Hyderabad,26-35
INV000440,69.57142857142857,At Risk,Uttar Pradesh,Agra,18-25
INV000441,60.8,At Risk,Tamil Nadu,Chennai,26-35
INV000444,73.2,At Risk,Maharashtra,Pune,36-45
INV000445,57.75,At Risk,Madhya Pradesh,Bhopal,26-35
INV000446,38.6,At Risk,Rajasthan,Jaipur,26-35
INV000449,46.8,At Risk,Haryana,Faridabad,18-25
INV000452,49.375,At Risk,Tamil Nadu,Coimbatore,26-35
INV000457,91.4,At Risk,Haryana,Faridabad,26-35
INV000460,43.4,At Risk,Delhi,Noida,36-45
INV000463,65.16666666666667,At Risk,Gujarat,Ahmedabad,26-35
INV000466,73.33333333333333,At Risk,Haryana,Faridabad,18-25
INV000467,56.666666666666664,At Risk,Karnataka,Bangalore,18-25
INV000469,70.5,At Risk,Tamil Nadu,Coimbatore,18-25
INV000483,70.42857142857143,At Risk,Haryana,Gurugram,18-25
INV000491,95.0,At Risk,Madhya Pradesh,Indore,56+
INV000493,47.55555555555556,At Risk,Punjab,Chandigarh,18-25
INV000497,71.83333333333333,At Risk,Madhya Pradesh,Bhopal,36-45
INV000499,77.83333333333333,At Risk,Delhi,New Delhi,36-45
INV000507,70.16666666666667,At Risk,Gujarat,Ahmedabad,36-45
INV000512,54.75,At Risk,Punjab,Amritsar,46-55
INV000522,100.8,At Risk,Punjab,Chandigarh,26-35
INV000524,55.0,At Risk,West Bengal,Kolkata,56+
INV000527,50.8,At Risk,Telangana,Hyderabad,26-35
INV000529,59.2,At Risk,Maharashtra,Mumbai,18-25
INV000531,47.0,At Risk,Delhi,Gurugram,56+
INV000539,77.0,At Risk,Haryana,Faridabad,26-35
INV000540,73.5,At Risk,Tamil Nadu,Coimbatore,26-35
INV000543,83.66666666666667,At Risk,Haryana,Gurugram,36-45
INV000545,80.6,At Risk,Telangana,Hyderabad,26-35
INV000546,55.0,At Risk,Karnataka,Mysore,26-35
INV000547,55.8,At Risk,West Bengal,Kolkata,26-35
INV000549,96.2,At Risk,Tamil Nadu,Coimbatore,46-55
INV000553,72.0,At Risk,Rajasthan,Jaipur,36-45
INV000554,70.2,At Risk,Delhi,Noida,36-45
INV000556,52.42857142857143,At Risk,Rajasthan,Udaipur,18-25
INV000562,74.4,At Risk,Gujarat,Ahmedabad,36-45
INV000563,76.33333333333333,At Risk,Uttar Pradesh,Lucknow,26-35
INV000566,35.0,Regular,Uttar Pradesh,Agra,36-45
INV000567,63.8,At Risk,Delhi,New Delhi,26-35
INV000568,62.4,At Risk,Delhi,New Delhi,36-45
INV000570,67.28571428571429,At Risk,Madhya Pradesh,Bhopal,26-35
INV000573,50.833333333333336,At Risk,Madhya Pradesh,Bhopal,56+
INV000575,71.6,At Risk,Punjab,Amritsar,26-35
INV000578,66.83333333333333,At Risk,Maharashtra,Nashik,26-35
INV000581,78.33333333333333,At Risk,Tamil Nadu,Coimbatore,36-45
INV000586,44.5,At Risk,West Bengal,Kolkata,36-45
INV000589,59.125,At Risk,Uttar Pradesh,Kanpur,18-25
INV000591,64.5,At Risk,Karnataka,Bangalore,18-25
INV000593,74.2,At Risk,Telangana,Hyderabad,56+
INV000596,51.75,At Risk,Madhya Pradesh,Indore,56+
INV000597,88.6,At Risk,Gujarat,Surat,46-55
INV000599,81.5,At Risk,Gujarat,Ahmedabad,36-45
INV000607,66.66666666666667,At Risk,Rajasthan,Jaipur,56+
INV000608,100.2,At Risk,Haryana,Gurugram,46-55
INV000609,47.0,At Risk,Tamil Nadu,Coimbatore,18-25
INV000612,49.3,At Risk,Punjab,Amritsar,18-25
INV000615,55.833333333333336,At Risk,Punjab,Amritsar,36-45
INV000624,31.666666666666668,Regular,West Bengal,Kolkata,56+
INV000625,86.4,At Risk,Rajasthan,Jaipur,46-55
INV000630,68.66666666666667,At Risk,Uttar Pradesh,Kanpur,26-35
INV000631,54.0,At Risk,Delhi,Noida,36-45
INV000634,52.25,At Risk,Karnataka,Bangalore,26-35
INV000635,75.0,At Risk,Delhi,New Delhi,18-25
INV000641,54.8,At Risk,Punjab,Amritsar,26-35
INV000642,53.5,At Risk,Gujarat,Surat,26-35
INV000645,66.0,At Risk,Karnataka,Bangalore,18-25
INV000646,62.333333333333336,At Risk,Uttar Pradesh,Lucknow,26-35
INV000651,94.0,At Risk,Delhi,New Delhi,18-25
INV000652,93.8,At Risk,Delhi,Gurugram,26-35
INV000657,64.71428571428571,At Risk,Tamil Nadu,Coimbatore,26-35
INV000662,66.14285714285714,At Risk,Gujarat,Surat,36-45
INV000663,94.4,At Risk,Haryana,Gurugram,26-35
INV000665,36.22222222222222,At Risk,Rajasthan,Udaipur,26-35
INV000667,68.0,At Risk,Telangana,Hyderabad,26-35
INV000673,92.8,At Risk,Maharashtra,Nashik,36-45
INV000675,62.8,At Risk,Uttar Pradesh,Kanpur,36-45
INV000676,35.3,At Risk,Rajasthan,Udaipur,56+
INV000678,63.333333333333336,At Risk,Gujarat,Surat,26-35
INV000683,54.5,At Risk,Maharashtra,Mumbai,26-35
INV000690,56.285714285714285,At Risk,Delhi,Gurugram,46-55
INV000691,66.4,At Risk,Tamil Nadu,Chennai,18-25
INV000698,52.25,At Risk,Madhya Pradesh,Bhopal,18-25
INV000699,42.8,At Risk,Rajasthan,Jaipur,18-25
INV000701,83.66666666666667,At Risk,West Bengal,Kolkata,36-45
INV000707,34.375,Regular,Karnataka,Mysore,36-45
INV000709,65.16666666666667,At Risk,Telangana,Hyderabad,26-35
INV000710,88.6,At Risk,Delhi,Noida,26-35
INV000714,37.0,At Risk,Uttar Pradesh,Kanpur,26-35
INV000718,57.833333333333336,At Risk,Delhi,Gurugram,26-35
INV000719,72.83333333333333,At Risk,Tamil Nadu,Coimbatore,18-25
INV000724,81.2,At Risk,Uttar Pradesh,Kanpur,46-55
INV000725,67.66666666666667,At Risk,Telangana,Hyderabad,18-25
INV000734,64.0,At Risk,Maharashtra,Pune,26-35
INV000737,92.6,At Risk,Madhya Pradesh,Indore,26-35
INV000747,84.6,At Risk,West Bengal,Kolkata,36-45
INV000750,26.5,Regular,Delhi,New Delhi,26-35
INV000751,53.0,At Risk,Uttar Pradesh,Kanpur,36-45
INV000754,72.33333333333333,At Risk,West Bengal,Kolkata,26-35
INV000759,83.0,At Risk,Gujarat,Ahmedabad,26-35
INV000761,75.16666666666667,At Risk,Rajasthan,Udaipur,18-25
INV000768,60.0,At Risk,Delhi,Noida,56+
INV000772,46.0,At Risk,Karnataka,Bangalore,56+
INV000774,73.66666666666667,At Risk,Telangana,Hyderabad,36-45
INV000776,59.42857142857143,At Risk,Rajasthan,Jaipur,26-35
INV000777,66.0,At Risk,Uttar Pradesh,Lucknow,26-35
INV000778,59.714285714285715,At Risk,Haryana,Faridabad,26-35
INV000779,75.0,At Risk,Gujarat,Ahmedabad,36-45
INV000783,89.8,At Risk,Gujarat,Ahmedabad,46-55
INV000785,32.6,Regular,Tamil Nadu,Chennai,36-45
INV000786,64.125,At Risk,Madhya Pradesh,Bhopal,26-35
INV000789,55.142857142857146,At Risk,Gujarat,Surat,56+
INV000793,69.14285714285714,At Risk,West Bengal,Kolkata,26-35
INV000803,77.16666666666667,At Risk,Karnataka,Mysore,26-35
INV000814,94.0,At Risk,Delhi,New Delhi,26-35
INV000822,55.5,At Risk,Punjab,Amritsar,26-35
INV000823,39.666666666666664,At Risk,Madhya Pradesh,Bhopal,46-55
INV000827,58.285714285714285,At Risk,Maharashtra,Pune,36-45
INV000830,72.2,At Risk,Tamil Nadu,Chennai,36-45
INV000833,67.28571428571429,At Risk,Maharashtra,Nashik,18-25
INV000836,84.8,At Risk,Haryana,Gurugram,26-35
INV000843,55.6,At Risk,Maharashtra,Mumbai,26-35
INV000844,66.16666666666667,At Risk,Gujarat,Surat,26-35
INV000847,47.8,At Risk,West Bengal,Kolkata,26-35
INV000853,49.333333333333336,At Risk,Punjab,Chandigarh,26-35
INV000854,61.25,At Risk,Karnataka,Bangalore,46-55
INV000858,44.875,At Risk,Tamil Nadu,Chennai,36-45
INV000862,91.2,At Risk,Uttar Pradesh,Agra,26-35
INV000864,40.8,At Risk,Tamil Nadu,Chennai,26-35
INV000865,45.75,At Risk,Tamil Nadu,Coimbatore,26-35
INV000869,65.4,At Risk,West Bengal,Kolkata,26-35
INV000873,73.5,At Risk,Uttar Pradesh,Lucknow,26-35
INV000874,62.125,At Risk,Tamil Nadu,Chennai,56+
INV000877,59.4,At Risk,Telangana,Hyderabad,36-45
INV000881,46.111111111111114,At Risk,Uttar Pradesh,Agra,26-35
INV000887,65.66666666666667,At Risk,Tamil Nadu,Coimbatore,36-45
INV000888,80.33333333333333,At Risk,Gujarat,Ahmedabad,26-35
INV000893,59.5,At Risk,Punjab,Chandigarh,46-55
INV000894,55.0,At Risk,Tamil Nadu,Coimbatore,36-45
INV000901,54.0,At Risk,Delhi,Gurugram,46-55
INV000907,59.2,At Risk,Karnataka,Bangalore,46-55
INV000920,75.6,At Risk,Delhi,Gurugram,56+
INV000926,80.0,At Risk,Delhi,New Delhi,36-45
INV000929,58.166666666666664,At Risk,West Bengal,Kolkata,36-45
INV000930,32.42857142857143,Regular,Rajasthan,Udaipur,18-25
INV000935,30.875,Regular,Telangana,Hyderabad,36-45
INV000939,60.57142857142857,At Risk,Karnataka,Bangalore,26-35
INV000942,53.0,At Risk,Haryana,Faridabad,56+
INV000949,67.5,At Risk,Tamil Nadu,Coimbatore,26-35
INV000950,91.0,At Risk,Punjab,Amritsar,36-45
INV000971,46.833333333333336,At Risk,Maharashtra,Mumbai,36-45
INV000974,73.5,At Risk,Maharashtra,Mumbai,46-55
INV000977,48.77777777777778,At Risk,Karnataka,Mysore,56+
INV000979,79.8,At Risk,Karnataka,Bangalore,26-35
INV000980,44.42857142857143,At Risk,West Bengal,Kolkata,18-25
INV000981,50.4,At Risk,West Bengal,Kolkata,36-45
INV000986,60.833333333333336,At Risk,Tamil Nadu,Coimbatore,26-35
INV000994,63.8,At Risk,Maharashtra,Pune,26-35
INV001001,60.285714285714285,At Risk,Madhya Pradesh,Indore,26-35
INV001002,41.666666666666664,At Risk,Telangana,Hyderabad,36-45
INV001005,93.6,At Risk,Karnataka,Bangalore,46-55
INV001008,64.66666666666667,At Risk,Rajasthan,Udaipur,46-55
INV001013,96.8,At Risk,Telangana,Hyderabad,36-45
INV001017,67.0,At Risk,West Bengal,Kolkata,26-35
INV001019,44.875,At Risk,Madhya Pradesh,Indore,26-35
INV001021,68.66666666666667,At Risk,Maharashtra,Mumbai,56+
INV001023,72.42857142857143,At Risk,Gujarat,Ahmedabad,36-45
INV001025,38.8,At Risk,Maharashtra,Pune,18-25
INV001026,69.4,At Risk,Haryana,Gurugram,26-35
INV001037,42.0,At Risk,Haryana,Faridabad,36-45
INV001039,66.2,At Risk,Gujarat,Surat,36-45
INV001041,83.0,At Risk,Madhya Pradesh,Bhopal,18-25
INV001047,66.16666666666667,At Risk,Tamil Nadu,Chennai,56+
INV001048,47.0,At Risk,Delhi,New Delhi,46-55
INV001051,54.142857142857146,At Risk,Haryana,Gurugram,26-35
INV001053,55.857142857142854,At Risk,West Bengal,Kolkata,46-55
INV001055,93.2,At Risk,Haryana,Gurugram,26-35
INV001060,53.375,At Risk,Telangana,Hyderabad,36-45
INV001061,51.125,At Risk,Punjab,Amritsar,18-25
INV001063,43.285714285714285,At Risk,Haryana,Faridabad,26-35
INV001064,59.5,At Risk,West Bengal,Kolkata,46-55
INV001069,41.285714285714285,At Risk,Telangana,Hyderabad,26-35
INV001070,97.0,At Risk,Tamil Nadu,Coimbatore,26-35
INV001092,77.33333333333333,At Risk,Haryana,Gurugram,26-35
INV001099,26.142857142857142,Regular,Haryana,Gurugram,26-35
INV001102,55.333333333333336,At Risk,West Bengal,Kolkata,46-55
INV001115,81.4,At Risk,Uttar Pradesh,Kanpur,26-35
INV001116,58.125,At Risk,Haryana,Faridabad,36-45
INV001117,61.714285714285715,At Risk,Punjab,Amritsar,18-25
INV001130,76.83333333333333,At Risk,Rajasthan,Jaipur,18-25
INV001137,57.0,At Risk,West Bengal,Kolkata,56+
INV001140,60.4,At Risk,Uttar Pradesh,Lucknow,36-45
INV001141,97.6,At Risk,West Bengal,Kolkata,18-25
INV001142,42.833333333333336,At Risk,Uttar Pradesh,Lucknow,26-35
INV001156,102.4,At Risk,Madhya Pradesh,Indore,56+
INV001160,57.57142857142857,At Risk,Karnataka,Mysore,36-45
INV001161,80.6,At Risk,Uttar Pradesh,Kanpur,26-35
INV001163,67.33333333333333,At Risk,Karnataka,Mysore,26-35
INV001167,96.2,At Risk,Punjab,Amritsar,36-45
INV001170,68.2,At Risk,Karnataka,Mysore,36-45
INV001173,67.0,At Risk,Punjab,Chandigarh,26-35
INV001178,79.66666666666667,At Risk,West Bengal,Kolkata,26-35
INV001180,74.4,At Risk,Telangana,Hyderabad,26-35
INV001181,67.42857142857143,At Risk,West Bengal,Kolkata,26-35
INV001190,97.0,At Risk,Maharashtra,Mumbai,26-35
INV001195,53.42857142857143,At Risk,Gujarat,Surat,26-35
INV001196,92.2,At Risk,Punjab,Chandigarh,26-35
INV001202,58.0,At Risk,Karnataka,Bangalore,26-35
INV001206,83.6,At Risk,Delhi,Noida,26-35
INV001208,51.833333333333336,At Risk,Gujarat,Ahmedabad,56+
INV001210,36.875,At Risk,Uttar Pradesh,Agra,36-45
INV001217,60.142857142857146,At Risk,Rajasthan,Jaipur,26-35
INV001219,50.857142857142854,At Risk,West Bengal,Kolkata,26-35
INV001220,77.16666666666667,At Risk,Punjab,Chandigarh,36-45
INV001223,70.83333333333333,At Risk,Punjab,Amritsar,56+
INV001234,60.57142857142857,At Risk,Uttar Pradesh,Agra,26-35
INV001235,59.0,At Risk,Haryana,Faridabad,26-35
INV001237,98.0,At Risk,West Bengal,Kolkata,26-35
INV001238,68.5,At Risk,Haryana,Gurugram,26-35
INV001242,69.8,At Risk,Tamil Nadu,Chennai,36-45
INV001251,82.0,At Risk,Punjab,Chandigarh,26-35
INV001262,44.833333333333336,At Risk,Karnataka,Bangalore,26-35
INV001274,73.33333333333333,At Risk,Maharashtra,Mumbai,36-45
INV001275,66.66666666666667,At Risk,Delhi,Noida,36-45
INV001282,67.0,At Risk,West Bengal,Kolkata,18-25
INV001287,92.2,At Risk,Telangana,Hyderabad,36-45
INV001288,45.666666666666664,At Risk,Telangana,Hyderabad,26-35
INV001291,76.2,At Risk,Uttar Pradesh,Lucknow,46-55
INV001295,50.75,At Risk,Madhya Pradesh,Indore,36-45
INV001298,71.83333333333333,At Risk,Delhi,Gurugram,26-35
INV001299,51.25,At Risk,Haryana,Faridabad,26-35
INV001304,97.6,At Risk,Gujarat,Ahmedabad,26-35
INV001308,54.625,At Risk,Rajasthan,Jaipur,36-45
INV001310,81.2,At Risk,Telangana,Hyderabad,46-55
INV001314,50.44444444444444,At Risk,Gujarat,Ahmedabad,26-35
INV001315,51.833333333333336,At Risk,Telangana,Hyderabad,46-55
INV001316,92.4,At Risk,Punjab,Chandigarh,18-25
INV001317,84.8,At Risk,Punjab,Chandigarh,26-35
INV001318,46.22222222222222,At Risk,Telangana,Hyderabad,36-45
INV001326,69.42857142857143,At Risk,Rajasthan,Udaipur,46-55
INV001329,68.2,At Risk,Punjab,Amritsar,36-45
INV001331,94.2,At Risk,Gujarat,Ahmedabad,26-35
INV001332,80.0,At Risk,Uttar Pradesh,Agra,26-35
INV001333,78.66666666666667,At Risk,Haryana,Faridabad,26-35
INV001336,65.85714285714286,At Risk,Tamil Nadu,Coimbatore,18-25
INV001348,47.833333333333336,At Risk,Haryana,Gurugram,26-35
INV001351,70.5,At Risk,Uttar Pradesh,Kanpur,26-35
INV001355,60.2,At Risk,Tamil Nadu,Chennai,46-55
INV001356,79.2,At Risk,Gujarat,Ahmedabad,26-35
INV001359,72.5,At Risk,Haryana,Gurugram,36-45
INV001361,50.5,At Risk,West Bengal,Kolkata,26-35
INV001367,99.0,At Risk,Maharashtra,Nashik,36-45
INV001375,78.5,At Risk,Haryana,Gurugram,18-25
INV001376,78.66666666666667,At Risk,Gujarat,Surat,26-35
INV001383,56.142857142857146,At Risk,Maharashtra,Pune,26-35
INV001387,57.25,At Risk,Tamil Nadu,Chennai,36-45
INV001394,63.57142857142857,At Risk,Karnataka,Bangalore,56+
INV001400,76.8,At Risk,Tamil Nadu,Coimbatore,36-45
INV001401,68.6,At Risk,Tamil Nadu,Coimbatore,26-35
INV001406,47.666666666666664,At Risk,Telangana,Hyderabad,46-55
INV001407,45.2,At Risk,Rajasthan,Udaipur,26-35
INV001415,68.14285714285714,At Risk,Haryana,Gurugram,56+
INV001418,88.6,At Risk,Delhi,Noida,36-45
INV001419,85.8,At Risk,Delhi,New Delhi,26-35
INV001423,48.57142857142857,At Risk,Madhya Pradesh,Bhopal,18-25
INV001428,79.4,At Risk,Delhi,New Delhi,26-35
INV001432,71.4,At Risk,Uttar Pradesh,Lucknow,36-45
INV001434,80.6,At Risk,Maharashtra,Mumbai,46-55
INV001442,57.125,At Risk,Uttar Pradesh,Lucknow,26-35
INV001454,73.0,At Risk,Tamil Nadu,Chennai,26-35
INV001455,64.71428571428571,At Risk,Madhya Pradesh,Indore,36-45
INV001457,43.8,At Risk,Gujarat,Ahmedabad,26-35
INV001458,59.833333333333336,At Risk,Tamil Nadu,Coimbatore,46-55
INV001466,44.6,At Risk,Delhi,Noida,46-55
INV001472,79.0,At Risk,West Bengal,Kolkata,18-25
INV001482,80.6,At Risk,Madhya Pradesh,Indore,46-55
INV001485,55.0,At Risk,Rajasthan,Jaipur,56+
INV001491,98.8,At Risk,Tamil Nadu,Chennai,56+
INV001497,63.0,At Risk,Maharashtra,Mumbai,36-45
INV001504,54.25,At Risk,Haryana,Faridabad,36-45
INV001507,86.2,At Risk,Uttar Pradesh,Lucknow,26-35
INV001510,66.83333333333333,At Risk,Gujarat,Surat,26-35
INV001514,51.833333333333336,At Risk,Delhi,Gurugram,46-55
INV001516,56.8,At Risk,Tamil Nadu,Coimbatore,26-35
INV001526,50.4,At Risk,Madhya Pradesh,Bhopal,26-35
INV001530,64.66666666666667,At Risk,Telangana,Hyderabad,26-35
INV001532,56.833333333333336,At Risk,Madhya Pradesh,Bhopal,36-45
INV001536,69.0,At Risk,Karnataka,Mysore,26-35
INV001545,92.8,At Risk,Madhya Pradesh,Bhopal,26-35
INV001547,72.16666666666667,At Risk,Tamil Nadu,Coimbatore,36-45
INV001548,80.6,At Risk,Delhi,New Delhi,26-35
INV001550,79.0,At Risk,Punjab,Chandigarh,18-25
INV001551,61.8,At Risk,Tamil Nadu,Chennai,26-35
INV001562,44.22222222222222,At Risk,Delhi,Noida,26-35
INV001564,55.714285714285715,At Risk,Haryana,Faridabad,46-55
INV001569,83.4,At Risk,Punjab,Chandigarh,46-55
INV001579,75.0,At Risk,Karnataka,Bangalore,46-55
INV001580,45.666666666666664,At Risk,Punjab,Chandigarh,26-35
INV001585,56.6,At Risk,Telangana,Hyderabad,36-45
INV001587,65.0,At Risk,Punjab,Chandigarh,26-35
INV001597,56.0,At Risk,West Bengal,Kolkata,36-45
INV001599,58.2,At Risk,Haryana,Faridabad,36-45
INV001602,93.8,At Risk,West Bengal,Kolkata,36-45
INV001603,54.5,At Risk,Uttar Pradesh,Agra,46-55
INV001605,60.57142857142857,At Risk,Uttar Pradesh,Kanpur,26-35
INV001606,67.66666666666667,At Risk,Punjab,Amritsar,26-35
INV001616,53.0,At Risk,Tamil Nadu,Chennai,26-35
